"date","open","high","low","close","volume","barCount","average"
"2020-06-01 09:30:00",23545.46,23657.07,23545.46,23657.06,0,0,29.0
"2020-06-01 09:31:00",23675.5,23707.39,23662.85,23678.6,0,0,30.0
"2020-06-01 09:32:00",23679.48,23688.95,23659.35,23661.22,0,0,30.0
"2020-06-01 09:33:00",23661.24,23666.31,23615.43,23615.44,0,0,30.0
"2020-06-01 09:34:00",23610.32,23610.84,23584.27,23595.44,0,0,30.0
"2020-06-01 09:35:00",23597.25,23643.92,23597.25,23623.49,0,0,30.0
"2020-06-01 09:36:00",23625.79,23627.82,23605.08,23605.08,0,0,30.0
"2020-06-01 09:37:00",23605.05,23615.16,23583.88,23584.85,0,0,30.0
"2020-06-01 09:38:00",23589.0,23601.54,23583.67,23601.54,0,0,30.0
"2020-06-01 09:39:00",23598.88,23634.06,23598.88,23629.25,0,0,30.0
"2020-06-01 09:40:00",23629.21,23657.87,23629.21,23650.42,0,0,30.0
"2020-06-01 09:41:00",23651.64,23700.91,23651.64,23700.41,0,0,30.0
"2020-06-01 09:42:00",23700.12,23756.99,23700.11,23734.07,0,0,30.0
"2020-06-01 09:43:00",23733.52,23753.89,23721.28,23741.63,0,0,30.0
"2020-06-01 09:44:00",23743.89,23759.98,23743.3,23751.57,0,0,30.0
"2020-06-01 09:45:00",23756.37,23806.32,23756.36,23771.44,0,0,30.0
"2020-06-01 09:46:00",23771.24,23779.26,23753.85,23757.49,0,0,30.0
"2020-06-01 09:47:00",23756.59,23768.48,23750.49,23759.48,0,0,30.0
"2020-06-01 09:48:00",23756.8,23759.07,23744.05,23745.42,0,0,30.0
"2020-06-01 09:49:00",23743.68,23746.48,23735.44,23735.63,0,0,30.0
"2020-06-01 09:50:00",23731.27,23747.73,23721.35,23721.35,0,0,30.0
"2020-06-01 09:51:00",23720.36,23728.24,23710.68,23724.32,0,0,30.0
"2020-06-01 09:52:00",23724.07,23733.02,23712.49,23715.56,0,0,30.0
"2020-06-01 09:53:00",23711.73,23711.73,23662.0,23662.0,0,0,30.0
"2020-06-01 09:54:00",23662.83,23666.6,23649.94,23651.1,0,0,30.0
"2020-06-01 09:55:00",23652.02,23669.65,23642.76,23669.65,0,0,30.0
"2020-06-01 09:56:00",23671.81,23684.54,23653.66,23653.66,0,0,30.0
"2020-06-01 09:57:00",23669.31,23669.32,23653.78,23658.82,0,0,29.0
"2020-06-01 09:58:00",23656.97,23688.91,23656.52,23680.59,0,0,30.0
"2020-06-01 09:59:00",23682.15,23693.73,23678.68,23678.69,0,0,30.0
"2020-06-01 10:00:00",23678.94,23698.9,23676.48,23683.92,0,0,30.0
"2020-06-01 10:01:00",23684.37,23684.37,23659.88,23670.03,0,0,30.0
